date,label,amount
2025-06-18,ASSURANCE HABITATION MAIF,-21.50
2025-06-19,FRAIS CARTE,-2.00
2025-06-20,CARREFOUR LOMME,-92.10
2025-06-21,ORANGE INTERNET,-39.99
2025-06-22,SPOTIFY,-10.99
2025-06-23,FRAIS TENUE DE COMPTE,-8.00
2025-06-24,LINKEDIN PREMIUM,-29.99
2025-06-25,CARREFOUR LOMME,-84.50
2025-06-26,ORANGE INTERNET,-39.99
2025-06-27,ASSURANCE HABITATION MAIF,-21.50
2025-06-28,FRAIS CARTE,-2.00
2025-06-29,DEEZER,-10.99
2025-06-30,EDF FACTURE,-96.30
2025-07-01,AMAZON PRIME,-6.99
2025-07-02,UBER TRIP,-14.90
2025-07-03,ORANGE INTERNET,-39.99
2025-07-04,LINKEDIN PREMIUM,-29.99
2025-07-05,LIDL LOMME,-37.80
2025-07-06,UBER TRIP,-9.70
2025-07-07,CARREFOUR LOMME,-92.10
2025-07-08,SPOTIFY,-10.99
2025-07-09,FRAIS CARTE,-2.00
2025-07-10,CARREFOUR LOMME,-92.10
2025-07-11,FRAIS TENUE DE COMPTE,-8.00
2025-07-12,UBER TRIP,-12.40
2025-07-13,UBER TRIP,-12.40
2025-07-14,ASSURANCE HABITATION MAIF,-21.50
2025-07-15,CANVA PRO,-12.99
2025-07-16,UBER TRIP,-9.70
2025-07-17,CARREFOUR LOMME,-84.50
2025-07-18,ORANGE INTERNET,-39.99
2025-07-19,ASSURANCE AUTO MAIF,-68.90
2025-07-20,FRAIS TENUE DE COMPTE,-8.00
2025-07-21,AMAZON PRIME,-6.99
2025-07-22,AMAZON PRIME,-6.99
2025-07-23,LIDL LOMME,-43.20
2025-07-24,DEEZER,-10.99
2025-07-25,CARREFOUR LOMME,-84.50
2025-07-26,UBER TRIP,-12.40
2025-07-27,EDF FACTURE,-96.30
2025-07-28,CANVA PRO,-12.99
2025-07-29,LINKEDIN PREMIUM,-29.99
2025-07-30,LIDL LOMME,-37.80
2025-07-31,FRAIS TENUE DE COMPTE,-8.00
2025-08-01,ASSURANCE HABITATION MAIF,-21.50
2025-08-02,ASSURANCE HABITATION MAIF,-21.50
2025-08-03,UBER TRIP,-14.90
2025-08-04,LIDL LOMME,-37.80
2025-08-05,AMAZON PRIME,-6.99
2025-08-06,FRAIS CARTE,-2.00
2025-08-07,UBER TRIP,-14.90
2025-08-08,NETFLIX,-5.99
2025-08-09,ASSURANCE AUTO MAIF,-68.90
2025-08-10,UBER TRIP,-12.40
2025-08-11,FRAIS CARTE,-2.00
2025-08-12,LINKEDIN PREMIUM,-29.99
2025-08-13,ORANGE INTERNET,-39.99
2025-08-14,EDF FACTURE,-96.30
2025-08-15,UBER TRIP,-9.70
2025-08-16,CARREFOUR LOMME,-84.50
2025-08-17,CANVA PRO,-12.99
2025-08-18,CARREFOUR LOMME,-92.10
2025-08-19,NETFLIX,-5.99
2025-08-20,FRAIS CARTE,-2.00
2025-08-21,LIDL LOMME,-37.80
2025-08-22,FRAIS TENUE DE COMPTE,-8.00
2025-08-23,EDF FACTURE,-96.30
2025-08-24,LIDL LOMME,-43.20
2025-08-25,LIDL LOMME,-37.80
2025-08-26,AMAZON PRIME,-6.99
2025-08-27,UBER TRIP,-12.40
2025-08-28,AMAZON PRIME,-6.99
2025-08-29,LIDL LOMME,-43.20
2025-08-30,CANVA PRO,-12.99
2025-08-31,UBER TRIP,-14.90
2025-09-01,EDF FACTURE,-96.30
2025-09-02,AMAZON PRIME,-6.99
2025-09-03,LIDL LOMME,-43.20
2025-09-04,ASSURANCE HABITATION MAIF,-21.50
2025-09-05,NETFLIX,-5.99
2025-09-06,APPLE MUSIC,-9.99
2025-09-07,ASSURANCE AUTO MAIF,-68.90
2025-09-08,LIDL LOMME,-43.20
2025-09-09,SPOTIFY,-10.99
2025-09-10,EDF FACTURE,-96.30
2025-09-11,FRAIS TENUE DE COMPTE,-8.00
2025-09-12,UBER TRIP,-14.90
2025-09-13,FRAIS TENUE DE COMPTE,-8.00
2025-09-14,DEEZER,-10.99
2025-09-15,LIDL LOMME,-43.20
2025-09-16,LINKEDIN PREMIUM,-29.99
2025-09-17,ASSURANCE AUTO MAIF,-68.90
2025-09-18,CARREFOUR LOMME,-92.10
2025-09-19,EDF FACTURE,-96.30
2025-09-20,UBER TRIP,-14.90
2025-09-21,LIDL LOMME,-43.20
2025-09-22,UBER TRIP,-12.40
2025-09-23,SPOTIFY,-10.99
2025-09-24,FRAIS CARTE,-2.00
2025-09-25,LIDL LOMME,-37.80
2025-09-26,UBER TRIP,-14.90
2025-09-27,CARREFOUR LOMME,-84.50
2025-09-28,EDF FACTURE,-96.30
2025-09-29,UBER TRIP,-12.40
2025-09-30,LINKEDIN PREMIUM,-29.99
2025-10-01,LINKEDIN PREMIUM,-29.99
2025-10-02,UBER TRIP,-14.90
2025-10-03,LIDL LOMME,-43.20
2025-10-04,ASSURANCE HABITATION MAIF,-21.50
2025-10-05,FRAIS CARTE,-2.00
2025-10-06,UBER TRIP,-9.70
2025-10-07,AMAZON PRIME,-6.99
2025-10-08,LIDL LOMME,-37.80
2025-10-09,APPLE MUSIC,-9.99
2025-10-10,UBER TRIP,-12.40
2025-10-11,FRAIS TENUE DE COMPTE,-8.00
2025-10-12,DEEZER,-10.99
2025-10-13,ASSURANCE HABITATION MAIF,-21.50
2025-10-14,NETFLIX,-5.99
2025-10-15,UBER TRIP,-9.70
2025-10-16,FRAIS TENUE DE COMPTE,-8.00
2025-10-17,UBER TRIP,-9.70
2025-10-18,CARREFOUR LOMME,-92.10
2025-10-19,NETFLIX,-5.99
2025-10-20,DEEZER,-10.99
2025-10-21,CANVA PRO,-12.99
2025-10-22,UBER TRIP,-14.90
2025-10-23,CARREFOUR LOMME,-84.50
2025-10-24,FRAIS TENUE DE COMPTE,-8.00
2025-10-25,EDF FACTURE,-96.30
2025-10-26,ASSURANCE AUTO MAIF,-68.90
2025-10-27,FRAIS CARTE,-2.00
2025-10-28,NETFLIX,-5.99
2025-10-29,LIDL LOMME,-37.80
2025-10-30,UBER TRIP,-12.40
2025-10-31,FRAIS CARTE,-2.00
2025-11-01,LIDL LOMME,-43.20
2025-11-02,CARREFOUR LOMME,-92.10
2025-11-03,EDF FACTURE,-96.30
2025-11-04,CANVA PRO,-12.99
2025-11-05,UBER TRIP,-9.70
2025-11-06,UBER TRIP,-9.70
2025-11-07,FRAIS CARTE,-2.00
2025-11-08,ASSURANCE AUTO MAIF,-68.90
2025-11-09,LIDL LOMME,-43.20
2025-11-10,CARREFOUR LOMME,-84.50
2025-11-11,SPOTIFY,-10.99
2025-11-12,EDF FACTURE,-96.30
2025-11-13,APPLE MUSIC,-9.99
2025-11-14,CARREFOUR LOMME,-84.50
2025-11-15,UBER TRIP,-9.70
2025-11-16,CARREFOUR LOMME,-84.50
2025-11-17,LIDL LOMME,-37.80
2025-11-18,APPLE MUSIC,-9.99
2025-11-19,UBER TRIP,-14.90
2025-11-20,SPOTIFY,-10.99
2025-11-21,EDF FACTURE,-96.30
2025-11-22,CARREFOUR LOMME,-84.50
2025-11-23,UBER TRIP,-9.70
2025-11-24,ORANGE INTERNET,-39.99
2025-11-25,LINKEDIN PREMIUM,-29.99
2025-11-26,APPLE MUSIC,-9.99
2025-11-27,CARREFOUR LOMME,-92.10
2025-11-28,LINKEDIN PREMIUM,-29.99
2025-11-29,FRAIS TENUE DE COMPTE,-8.00
2025-11-30,ORANGE INTERNET,-39.99
2025-12-01,UBER TRIP,-12.40
2025-12-02,APPLE MUSIC,-9.99
2025-12-03,CANVA PRO,-12.99
2025-12-04,ASSURANCE HABITATION MAIF,-21.50
2025-12-05,UBER TRIP,-9.70
2025-12-06,FRAIS TENUE DE COMPTE,-8.00
2025-12-07,CARREFOUR LOMME,-84.50
2025-12-08,CARREFOUR LOMME,-92.10
2025-12-09,LINKEDIN PREMIUM,-29.99
2025-12-10,FRAIS TENUE DE COMPTE,-8.00
2025-12-11,SPOTIFY,-10.99
2025-12-12,CARREFOUR LOMME,-84.50
2025-12-13,UBER TRIP,-12.40
2025-12-14,FRAIS TENUE DE COMPTE,-8.00
2025-12-15,CANVA PRO,-12.99
2025-12-16,APPLE MUSIC,-9.99
2025-12-17,ASSURANCE HABITATION MAIF,-21.50
2025-12-18,ORANGE INTERNET,-39.99
2025-12-19,LINKEDIN PREMIUM,-29.99
2025-12-20,ASSURANCE HABITATION MAIF,-21.50
2025-12-21,FRAIS TENUE DE COMPTE,-8.00
2025-12-22,CARREFOUR LOMME,-92.10
2025-12-23,APPLE MUSIC,-9.99
2025-12-24,NETFLIX,-5.99
2025-12-25,UBER TRIP,-9.70
2025-12-26,FRAIS CARTE,-2.00
2025-12-27,ORANGE INTERNET,-39.99
2025-12-28,EDF FACTURE,-96.30
2025-12-29,UBER TRIP,-9.70
2025-12-30,CANVA PRO,-12.99
2025-12-31,UBER TRIP,-12.40
2026-01-01,FRAIS CARTE,-2.00
2026-01-02,UBER TRIP,-12.40
2026-01-03,LINKEDIN PREMIUM,-29.99
2026-01-04,EDF FACTURE,-96.30
2026-01-05,EDF FACTURE,-96.30
2026-01-06,NETFLIX,-5.99
2026-01-07,UBER TRIP,-9.70
2026-01-08,UBER TRIP,-12.40
2026-01-09,SPOTIFY,-10.99
2026-01-10,UBER TRIP,-14.90
2026-01-11,LIDL LOMME,-43.20
2026-01-12,FRAIS TENUE DE COMPTE,-8.00
2026-01-13,NETFLIX,-5.99
2026-01-14,ORANGE INTERNET,-39.99
2026-01-15,LIDL LOMME,-37.80
2026-01-16,CARREFOUR LOMME,-92.10
2026-01-17,SPOTIFY,-10.99
2026-01-18,UBER TRIP,-14.90
2026-01-19,DEEZER,-10.99
2026-01-20,LINKEDIN PREMIUM,-29.99
2026-01-21,CARREFOUR LOMME,-92.10
2026-01-22,UBER TRIP,-12.40
2026-01-23,FRAIS TENUE DE COMPTE,-8.00
2026-01-24,FRAIS TENUE DE COMPTE,-8.00
2026-01-25,ASSURANCE HABITATION MAIF,-21.50
